Motor Speed (RPM),Engine Speed (RPM),Throttle (%),Intake Temperature (C),Engine Coolant Temperature 1 (C),Engine Coolant Temperature 2 (C),Barometric Pressure (kpa),Fuel Trim,Fuel Consumption (g/min),Fuel Consumed (g),Bus Voltage (V),Battery Current (A),Power Generated (W),Inverter Temperature (C),Target Fuel Pressure (bar),Fuel Pressure (bar),Fuel Pump Speed (RPM),Cooling Pump Speed (RPM),alert
3114.8,3022.0,19.0,25.0,44.0,43.0,97.0,1.0,10.2,0.0,47.33,6.239999999999999,-363.0,31.0,3.1,3.3,2318.0,5148.0,0
3057.1,3090.0,33.0,25.0,44.0,43.0,97.0,1.0,16.9,0.0,47.33,9.32,-407.0,31.0,3.1,3.1,1878.0,5148.0,0
4186.9,3976.0,48.0,25.0,44.0,43.0,97.0,1.0,22.5,0.0,47.26,5.070000000000001,-77.0,31.0,1.0,2.9,2424.0,4764.0,0
4057.2,3958.0,49.0,25.0,44.0,43.0,97.0,1.0,22.0,0.0,48.8,-2.45,101.0,31.0,1.0,2.8,2557.0,4764.0,0
4003.6,3861.0,49.0,25.0,43.0,43.0,97.0,1.0,20.7,0.0,48.8,-2.6799999999999997,135.0,31.0,1.0,2.8,2509.0,5244.0,0
4089.7,3984.0,49.0,25.0,43.0,43.0,97.0,1.0,20.9,0.0,48.83,-1.61,199.0,31.0,1.0,2.7,2518.0,5244.0,0
4220.4,3903.0,46.0,25.0,43.0,43.0,97.0,1.0,19.2,1.0,49.47,-9.33,408.0,31.0,3.1,2.8,3304.0,5016.0,0
4324.3,4274.0,42.0,25.0,43.0,43.0,97.0,1.0,21.7,1.0,49.47,-12.82,349.0,31.0,3.1,3.1,3564.0,5016.0,0
4177.6,4016.0,38.0,25.0,44.0,43.0,97.0,1.0,15.6,1.0,49.23,-7.64,180.0,31.0,3.1,3.3,2516.0,4488.0,0
4170.9,4343.0,37.0,25.0,44.0,43.0,97.0,1.0,19.8,1.0,49.23,-3.5599999999999996,213.0,31.0,3.1,3.1,2262.0,4488.0,0
4356.5,4189.0,32.0,25.0,44.0,43.0,96.0,1.0,13.7,1.0,49.52,-9.339999999999998,326.0,31.0,3.1,3.1,2507.0,5124.0,0
4200.3,4281.0,28.0,25.0,44.0,43.0,96.0,1.0,10.4,1.0,49.56,1.89,292.0,31.0,3.1,3.1,2616.0,5124.0,0
4170.6,4108.0,27.0,25.0,44.0,43.0,96.0,1.0,13.8,1.0,49.56,-5.8,227.0,31.0,3.1,3.1,2443.0,4824.0,0
3863.9,4104.0,25.0,25.0,44.0,43.0,96.0,1.0,14.8,1.0,48.72,6.16,-46.0,31.0,3.1,3.1,2374.0,4824.0,0
4068.9,4022.0,25.0,25.0,44.0,43.0,97.0,1.0,14.0,1.0,48.81,-3.45,145.0000000000001,31.0,2.2,3.1,2415.0,5412.0,0
3959.5,3968.0,25.0,25.0,44.0,43.0,97.0,1.0,13.7,1.0,48.81,-6.44,150.0,31.0,2.2,3.1,2359.0,5412.0,0
3974.6,3878.0,24.0,25.0,44.0,44.0,97.0,1.0,13.2,1.0,48.24,0.8499999999999999,231.0,31.0,2.2,3.0,2191.0,5736.0,0
4008.8,4083.0,24.0,25.0,44.0,44.0,97.0,1.0,14.3,1.0,48.24,-0.61,85.0,31.0,2.2,2.9,2186.0,5736.0,0
3976.0,3997.0,24.0,25.0,44.0,44.0,97.0,1.0,13.6,1.0,48.78,-1.34,-23.0,31.0,2.2,2.8,2035.0,5364.0,0
4009.0,3972.0,22.0,25.0,44.0,44.0,97.0,1.0,4.8,1.0,48.26,-0.44999999999999996,244.0,31.0,2.2,2.7,2070.0,5364.0,0
3904.9,3925.0,23.0,25.0,44.0,44.0,97.0,1.0,12.7,1.0,48.26,-2.21,163.0,31.0,2.2,2.6,1893.0,5088.0,0
3935.0,3908.0,23.0,25.0,44.0,44.0,97.0,1.0,12.7,1.0,48.6,-3.5299999999999994,84.0,31.0,2.2,2.5,1868.0,5088.0,0
3926.2,3918.0,23.0,25.0,44.0,44.0,96.0,1.0,12.6,2.0,48.45,2.71,25.0,31.0,1.6,2.3,1685.0,4944.0,0
4035.9,4056.0,23.0,25.0,44.0,44.0,96.0,1.0,11.2,2.0,48.45,1.53,3.0000000000001137,31.0,1.6,2.1,1597.0,4944.0,0
4016.8,4052.0,24.0,25.0,44.0,44.0,96.0,1.0,13.9,2.0,49.05,-1.7100000000000002,47.0,31.0,1.6,2.0,1734.0,4872.0,0
4175.7,3832.0,24.0,25.0,44.0,44.0,96.0,1.0,12.3,2.0,49.05,-10.35,299.0,31.0,1.6,1.9,1667.0,4872.0,0
4040.7,3986.0,25.0,25.0,44.0,44.0,97.0,1.0,14.5,2.0,48.77,2.66,20.000000000000114,31.0,1.8,1.8,1798.0,5388.0,0
4081.5,3883.0,25.0,25.0,44.0,44.0,97.0,1.0,13.6,2.0,49.28,-0.7,123.0,31.0,1.8,1.8,1962.0,5388.0,0
4085.2,3998.0,25.0,25.0,45.0,44.0,97.0,1.0,14.0,2.0,49.28,-6.64,169.0,31.0,1.8,1.8,1958.0,4728.0,0
3943.3,4035.0,26.0,25.0,45.0,44.0,97.0,1.0,14.7,2.0,48.78,-2.290000000000001,-18.0,31.0,1.8,1.8,1893.0,4728.0,0
4042.9,3929.0,26.0,25.0,45.0,44.0,97.0,1.0,13.9,2.0,48.74,-4.69,99.0,31.0,2.0,1.9,2467.0,5232.0,0
4025.3,4097.0,26.0,25.0,45.0,44.0,97.0,1.0,14.8,2.0,48.74,-3.21,40.0,31.0,2.0,2.1,2494.0,5232.0,0
3977.5,4118.0,26.0,25.0,45.0,44.0,97.0,1.0,14.9,2.0,49.29,-1.31,71.99999999999989,31.0,2.0,2.1,1846.0,5136.0,0
3903.3,3864.0,26.0,25.0,45.0,44.0,97.0,1.0,13.7,2.0,48.23,0.47,147.0,31.0,2.0,2.0,1730.0,5136.0,0
3911.1,3978.0,26.0,25.0,45.0,44.0,96.0,1.0,14.6,2.0,48.23,-3.2799999999999994,58.0,31.0,2.0,2.0,2101.0,4956.0,0
4123.7,4065.0,26.0,25.0,45.0,44.0,96.0,1.0,15.6,2.0,48.34,-2.3099999999999996,92.00000000000011,31.0,2.0,2.0,2177.0,4956.0,0
3883.3,3970.0,26.0,25.0,45.0,44.0,96.0,1.0,13.5,2.0,48.7,6.01,55.000000000000114,31.0,2.0,2.1,1974.0,5040.0,0
3982.5,4000.0,26.0,25.0,45.0,44.0,96.0,1.0,14.5,2.0,48.7,-4.459999999999999,123.99999999999989,31.0,2.0,2.1,2018.0,5040.0,0
4019.2,4105.0,26.0,25.0,45.0,44.0,97.0,1.0,15.5,2.0,48.7,-1.8800000000000001,98.0,31.0,2.3,2.1,2148.0,4968.0,0
3970.2,3944.0,27.0,25.0,45.0,44.0,97.0,1.0,14.8,2.0,48.7,-1.49,-106.00000000000011,31.0,2.3,2.1,2226.0,4968.0,0
4035.5,3925.0,28.0,25.0,46.0,44.0,97.0,1.0,15.4,3.0,48.33,-4.68,88.99999999999989,31.0,2.3,2.4,2798.0,5208.0,0
3858.4,3981.0,27.0,25.0,46.0,44.0,97.0,1.0,15.2,3.0,49.28,-3.51,-14.999999999999886,31.0,2.3,2.5,2229.0,5208.0,0
4034.1,3952.0,28.0,25.0,46.0,44.0,97.0,1.0,14.8,3.0,49.28,-2.1899999999999995,144.0000000000001,31.0,2.3,2.4,1846.0,5484.0,0
4090.2,4066.0,29.0,25.0,46.0,44.0,97.0,1.0,15.4,3.0,48.58,-3.1399999999999997,130.0,31.0,2.3,2.3,2119.0,5484.0,0
4101.0,3884.0,29.0,25.0,46.0,45.0,97.0,1.0,15.1,3.0,48.58,4.21,118.0,31.0,2.3,2.3,2344.0,4596.0,0
4007.8,3971.0,29.0,25.0,46.0,45.0,97.0,1.0,15.4,3.0,48.58,0.7,32.0,31.0,2.3,2.3,2273.0,4596.0,0
3996.5,3948.0,30.0,25.0,46.0,45.0,97.0,1.0,16.0,3.0,48.85,-0.54,8.0,31.0,2.6,2.5,2823.0,5592.0,0
3846.9,3831.0,29.0,25.0,46.0,45.0,97.0,1.0,15.4,3.0,48.85,0.52,7.0,31.0,2.6,2.6,2840.0,5592.0,0
3694.2,3812.0,29.0,25.0,46.0,45.0,97.0,1.0,15.1,3.0,48.74,0.010000000000000009,80.0,31.0,2.6,2.7,2130.0,5652.0,0
3833.5,3760.0,29.0,25.0,46.0,45.0,97.0,1.0,15.1,3.0,48.98,-0.9099999999999999,60.0,31.0,2.6,2.6,1998.0,5652.0,0
3694.5,3626.0,30.0,25.0,46.0,45.0,96.0,1.0,14.6,3.0,48.98,5.3,178.0,31.0,2.6,2.5,2318.0,5280.0,0
3881.0,3787.0,30.0,25.0,46.0,45.0,96.0,1.0,15.4,3.0,48.82,-5.22,142.9999999999999,31.0,2.6,2.6,2395.0,5280.0,0
3775.3,3768.0,30.0,25.0,46.0,45.0,96.0,1.0,15.3,3.0,48.46,-3.04,132.0,31.0,2.6,2.6,2263.0,5220.0,0
3776.6,3765.0,30.0,25.0,46.0,45.0,96.0,1.0,15.6,3.0,48.46,-1.28,77.0,31.0,2.6,2.6,2309.0,5220.0,0
